source          ,target
yes             ,human
yes             ,crowd
yes             ,people
yes             ,protest
I               ,human
I               ,crowd
I               ,people
I               ,protest
come            ,human
come            ,crowd
come            ,people
come            ,protest
capitol         ,human
capitol         ,crowd
capitol         ,people
capitol         ,protest
life            ,human
life            ,crowd
life            ,people
life            ,protest
position        ,human
position        ,crowd
position        ,people
position        ,protest
street          ,human
street          ,crowd
street          ,people
street          ,protest
away            ,human
away            ,crowd
away            ,people
away            ,protest
happen          ,human
happen          ,crowd
happen          ,people
happen          ,protest
right           ,human
right           ,crowd
right           ,people
right           ,protest
national        ,human
national        ,crowd
national        ,people
national        ,protest
guard           ,human
guard           ,crowd
guard           ,people
guard           ,protest
clearing        ,human
clearing        ,crowd
clearing        ,people
clearing        ,protest
area            ,human
area            ,crowd
area            ,people
area            ,protest
dc              ,human
dc              ,crowd
dc              ,people
dc              ,protest
police          ,human
police          ,crowd
police          ,people
police          ,protest
step            ,human
step            ,crowd
step            ,people
step            ,protest
capitol         ,politics
capitol         ,demonstration
capitol         ,news
capitol         ,audience
room            ,politics
room            ,demonstration
room            ,news
room            ,audience
room            ,crowd
room            ,people
room            ,protest
resecure        ,politics
resecure        ,demonstration
resecure        ,news
resecure        ,audience
resecure        ,crowd
resecure        ,people
resecure        ,protest
mean            ,demonstration
mean            ,audience
mean            ,crowd
mean            ,people
mean            ,protest
citadel         ,demonstration
citadel         ,audience
citadel         ,crowd
citadel         ,people
citadel         ,protest
manage          ,crowd
manage          ,protest
break           ,crowd
break           ,protest
right           ,pedestrian
chamber         ,pedestrian
chamber         ,crowd
chamber         ,people
extraordinary   ,pedestrian
extraordinary   ,crowd
extraordinary   ,people
day             ,pedestrian
day             ,crowd
day             ,people
happen          ,pedestrian
suggest         ,human
suggest         ,news
suggest         ,crowd
unleash         ,human
unleash         ,news
unleash         ,crowd
chaos           ,human
chaos           ,news
chaos           ,crowd
happen          ,news
today           ,human
today           ,news
today           ,crowd
unconstitutional,human
unconstitutional,news
unconstitutional,crowd
extreme         ,human
extreme         ,news
extreme         ,crowd
glory           ,human
glory           ,news
glory           ,crowd
american        ,human
american        ,news
american        ,crowd
system          ,human
system          ,news
system          ,crowd
constitution    ,human
constitution    ,news
constitution    ,crowd
peaceful        ,human
peaceful        ,news
peaceful        ,crowd
transfer        ,human
transfer        ,news
transfer        ,crowd
power           ,human
power           ,news
power           ,crowd
world           ,human
world           ,news
world           ,crowd
legacy          ,human
legacy          ,news
legacy          ,crowd
george          ,human
george          ,news
george          ,crowd
washington      ,human
washington      ,news
washington      ,crowd
leader          ,human
leader          ,news
leader          ,crowd
like            ,human
like            ,news
like            ,crowd
fight           ,human
fight           ,news
fight           ,crowd
depose          ,human
depose          ,news
depose          ,crowd
congress        ,human
congress        ,news
congress        ,crowd
suppose         ,human
suppose         ,news
suppose         ,crowd
certificate     ,human
certificate     ,news
certificate     ,crowd
formal          ,human
formal          ,news
formal          ,crowd
acceptance      ,human
acceptance      ,news
acceptance      ,crowd
election        ,human
election        ,news
election        ,crowd
result          ,human
result          ,news
result          ,crowd
mike            ,human
mike            ,news
mike            ,crowd
penny           ,human
penny           ,news
penny           ,crowd
vice            ,human
vice            ,news
vice            ,crowd
president       ,human
president       ,news
president       ,crowd
senate          ,human
senate          ,news
senate          ,crowd
open            ,human
open            ,news
open            ,crowd
envelope        ,human
envelope        ,news
envelope        ,crowd
different       ,human
different       ,news
