id                            ,group
yes                           ,words
I                             ,words
come                          ,words
capitol                       ,words
life                          ,words
position                      ,words
street                        ,words
away                          ,words
happen                        ,words
right                         ,words
national                      ,words
guard                         ,words
clearing                      ,words
area                          ,words
dc                            ,words
police                        ,words
step                          ,words
room                          ,words
resecure                      ,words
mean                          ,words
citadel                       ,words
manage                        ,words
break                         ,words
chamber                       ,words
extraordinary                 ,words
day                           ,words
suggest                       ,words
unleash                       ,words
chaos                         ,words
today                         ,words
unconstitutional              ,words
extreme                       ,words
glory                         ,words
american                      ,words
system                        ,words
constitution                  ,words
peaceful                      ,words
transfer                      ,words
power                         ,words
world                         ,words
legacy                        ,words
george                        ,words
washington                    ,words
leader                        ,words
like                          ,words
fight                         ,words
depose                        ,words
congress                      ,words
suppose                       ,words
certificate                   ,words
formal                        ,words
acceptance                    ,words
election                      ,words
result                        ,words
mike                          ,words
penny                         ,words
vice                          ,words
president                     ,words
senate                        ,words
open                          ,words
envelope                      ,words
different                     ,words
vote                          ,words
state                         ,words
end                           ,words
affirm                        ,words
joe                           ,words
biden                         ,words
20th                          ,words
january                       ,words
start                         ,words
1100                          ,words
morning                       ,words
outside                       ,words
white                         ,words
house                         ,words
rally                         ,words
supporter                     ,words
fly                           ,words
united                        ,words
ready                         ,words
act                           ,words
direction                     ,words
tell                          ,words
steal                         ,words
march                         ,words
man                           ,words
woman                         ,words
constitutional                ,words
duty                          ,words
mark                          ,words
hand                          ,words
place                         ,words
20                            ,words
100                           ,words
afternoon                     ,words
large                         ,words
crowd                         ,words
arrive                        ,words
capital                       ,words
ii                            ,words
people                        ,words
trouble                       ,words
45                            ,words
glove                         ,words
helmet                        ,words
boot                          ,words
lot                           ,words
paramilitary                  ,words
brigade                       ,words
gun                           ,words
storm                         ,words
door                          ,words
stench                        ,words
tear                          ,words
gas                           ,words
way                           ,words
deploy                        ,words
sort                          ,words
bear                          ,words
mace                          ,words
inside                        ,words
add                           ,words
shoot                         ,words
sure                          ,words
young                         ,words
injure                        ,words
report                        ,words
network                       ,words
confirm                       ,words
teach                         ,words
blood                         ,words
trail                         ,words
prepare                       ,words
exactly                       ,words
kick                          ,words
hear                          ,words
little                        ,words
trump                         ,words
remain                        ,words
let                           ,words
remind                        ,words
viewer                        ,words
13                            ,words
14                            ,words
minute                        ,words
statement                     ,words
short                         ,words
clip                          ,words
know                          ,words
pain                          ,words
hurt                          ,words
landslide                     ,words
especially                    ,words
home                          ,words
peace                         ,words
law                           ,words
order                         ,words
respect                       ,words
great                         ,words
want                          ,words
anybody                       ,words
tough                         ,words
period                        ,words
time                          ,words
thing                         ,words
country                       ,words
weave                         ,words
message                       ,words
notice                        ,words
maintain                      ,words
deny                          ,words
rightful                      ,words
legal                         ,words
choice                        ,words
whip                          ,words
believe                       ,words
overturn                      ,words
person                        ,words
set                           ,words
aside                         ,words
pat                           ,words
donald                        ,words
winner                        ,words
clear                         ,words
matter                        ,words
personal                      ,words
loyalty                       ,words
mr                            ,words
pinch                         ,words
continue                      ,words
grind                         ,words
inevitable                    ,words
extremely                     ,words
angry                         ,words
speak                         ,words
righteous                     ,words
stand                         ,words
tyranny                       ,words
revolution                    ,words
illegitimate                  ,words
legitimate                    ,words
force                         ,words
moment                        ,words
easy                          ,words
think                         ,words
mob                           ,words
attempt                       ,words
unseat                        ,words
democracy                     ,words
handful                       ,words
republicans                   ,words
try                           ,words
significant                   ,words
number                        ,words
remember                      ,words
big                           ,words
mix                           ,words
align                         ,words
conservative                  ,words
republican                    ,words
party                         ,words
venerate                      ,words
near                          ,words
perfection                    ,words
human                         ,words
government                    ,words
reach                         ,words
trash                         ,words
allow                         ,words
painful                       ,words
reince                        ,words
priebus                       ,words
chief                         ,words
staff                         ,words
domestic                      ,words
terrorist                     ,words
mitch                         ,words
mcconnell                     ,words
describe                      ,words
poisonous                     ,words
path                          ,words
previously                    ,words
supportive                    ,words
lead                          ,words
effort                        ,words
prevent                       ,words
impeach                       ,words
uncomfortable                 ,words
tonight                       ,words
session                       ,words
deadline                      ,words
6th                           ,words
defy                          ,words
sit                           ,words
night                         ,words
david                         ,words
thank                         ,words
probably                      ,words
scene                         ,words
pretty                        ,words
volatile                      ,words
guess                         ,words
impact                        ,words
presidency                    ,words
democrats                     ,words
hope                          ,words
achieve                       ,words
feel                          ,words
join                          ,words
alice                         ,words
communication                 ,words
director                      ,words
te                            ,words
cruz                          ,words
shortly                       ,words
democratic                    ,words
congressman                   ,words
turn                          ,words
response                      ,words
disgust                       ,words
frankly                       ,words
america                       ,words
exercise                      ,words
november                      ,words
3rd                           ,words
represent                     ,words
view                          ,words
value                         ,words
policy                        ,words
look                          ,words
ed                            ,words
recognize                     ,words
fact                          ,words
win                           ,words
elect                         ,words
happy                         ,words
thrill                        ,words
progress                      ,words
stage                         ,words
unfold                        ,words
presidentelect                ,words
unfortunate                   ,words
reason                        ,words
refuse                        ,words
acknowledge                   ,words
truth                         ,words
lose                          ,words
fraudulent                    ,words
widespread                    ,words
voter                         ,words
fraud                         ,words
figment                       ,words
imagination                   ,words
regard                        ,words
ballot                        ,words
invite                        ,words
nation                        ,words
river                         ,words
valid                         ,words
encourage                     ,words
violence                      ,words
generally                     ,words
play                          ,words
help                          ,words
figure                        ,words
decide                        ,words
fiery                         ,words
trumpism                      ,words
double                        ,words
cling                         ,words
dear                          ,words
clearly                       ,words
trip                          ,words
support                       ,words
cog                           ,words
wheel                         ,words
process                       ,words
firmly                        ,words
certainly                     ,words
forward                       ,words
learn                         ,words
mistake                       ,words
differently                   ,words
important                     ,words
ask                           ,words
closely                       ,words
run                           ,words
long                          ,words
ago                           ,words
action                        ,words
challenge                     ,words
word                          ,words
ear                           ,words
behavior                      ,words
share                         ,words
reporter                      ,words
phenomenal                    ,words
job                           ,words
explain                       ,words
normally                      ,words
member                        ,words
count                         ,words
electoral                     ,words
pass                          ,words
torch                         ,words
incoming                      ,words
administration                ,words
constituent                   ,words
honest                        ,words
interrupt                     ,words
surely                        ,words
past                          ,words
mmm                           ,words
deliver                       ,words
wish                          ,words
smart                         ,words
rare                          ,words
instance                      ,words
irregularity                  ,words
level                         ,words
spread                        ,words
allege                        ,words
mind                          ,words
faith                         ,words
confidence                    ,words
integrity                     ,words
congresss                     ,words
role                          ,words
contention                    ,words
alfonso                       ,words
lopez                         ,words
obama                         ,words
girl                          ,words
peach                         ,words
georgia                       ,words
upset                         ,words
actually                      ,words
dominate                      ,words
race                          ,words
change                        ,words
control                       ,words
basically                     ,words
difference                    ,words
govern                        ,words
minority                      ,words
majority                      ,words
offer                         ,words
vague                         ,words
olive                         ,words
branch                        ,words
huge                          ,words
civic                         ,words
101                           ,words
representative                ,words
rat                           ,words
democrat                      ,words
base                          ,words
broker                        ,words
fairy                         ,words
farleft                       ,words
firewall                      ,words
good                          ,words
divide                        ,words
congratulation                ,words
victor                        ,words
business                      ,words
speech                        ,words
strike                        ,words
note                          ,words
admittedly                    ,words
defeat                        ,words
envisage                      ,words
kind                          ,words
politic                       ,words
second                        ,words
split                         ,words
heal                          ,words
die                           ,words
rebreathe                     ,words
remake                        ,words
autopsy                       ,words
current                       ,words
vow                           ,words
primary                       ,words
voice                         ,words
heart                         ,words
soul                          ,words
limit                         ,words
fiscal                        ,words
responsibility                ,words
undo                          ,words
phone                         ,words
chair                         ,words
adviser                       ,words
read                          ,words
teller                        ,words
ascertain                     ,words
undersign                     ,words
roy                           ,words
blunt                         ,words
amy                           ,words
klobuchar                     ,words
tyler                         ,words
zoloft                        ,words
grin                          ,words
rodney                        ,words
davis                         ,words
follow                        ,words
ascertainment                 ,words
determine                     ,words
begin                         ,words
2021                          ,words
kamala                        ,words
harris                        ,words
vicepresident                 ,words
accord                        ,words
elector                       ,words
appoint                       ,words
538                           ,words
270                           ,words
joseph                        ,words
r                             ,words
junior                        ,words
delaware                      ,words
receive                       ,words
j                             ,words
florida                       ,words
thirty                        ,words
d                             ,words
california                    ,words
michael                       ,words
indiana                       ,words
announcement                  ,words
shall                         ,words
deem                          ,words
sufficient                    ,words
declaration                   ,words
term                          ,words
enter                         ,words
list                          ,words
journal                       ,words
announce                      ,words
attend                        ,words
inauguration                  ,words
successor                     ,words
hour                          ,words
promise                       ,words
transition                    ,words
miss                          ,words
ceremony                      ,words
150                           ,words
year                          ,words
decision                      ,words
agree                         ,words
embarrassment                 ,words
north                         ,words
editor                        ,words
john                          ,words
pool                          ,words
horse                         ,words
stable                        ,words
contractor                    ,words
bring                         ,words
proper                        ,words
security                      ,words
hill                          ,words
complex                       ,words
alarmingly                    ,words
breach                        ,words
wednesday                     ,words
repercussion                  ,words
chasten                       ,words
tense                         ,words
write                         ,words
address                       ,words
heinous                       ,words
attack                        ,words
tone                          ,words
substance                     ,words
startle                       ,words
whiplash                      ,words
school                        ,words
essay                         ,words
compare                       ,words
contrast                      ,words
walk                          ,words
intense                       ,words
selection                     ,words
emotion                       ,words
high                          ,words
temper                        ,words
cool                          ,words
calm                          ,words
restore                       ,words
weakness                      ,words
strength                      ,words
strong                        ,words
americans                     ,words
outraged                      ,words
lawlessness                   ,words
mayhem                        ,words
demonstrator                  ,words
infiltrate                    ,words
defile                        ,words
seat                          ,words
love                          ,words
engage                        ,words
destruction                   ,words
new                           ,words
inaugurate                    ,words
focus                         ,words
ensure                        ,words
smooth                        ,words
orderly                       ,words
seamless                      ,words
healing                       ,words
reconciliation                ,words
reactivate                    ,words
presidential                  ,words
twitter                       ,words
account                       ,words
unsurprising                  ,words
doth                          ,words
shed                          ,words
leave                         ,words
office                        ,words
indicate                      ,words
resignation                   ,words
threat                        ,words
removal                       ,words
astonish                      ,words
v                             ,words
fast                          ,words
option                        ,words
policeman                     ,words
brand                         ,words
sick                          ,words
nick                          ,words
injury                        ,words
hold                          ,words
writer                        ,words
flag                          ,words
halfmast                      ,words
honor                         ,words
half                          ,words
12                            ,words
plan                          ,words
draw                          ,words
article                       ,words
impeachment                   ,words
apparently                    ,words
raid                          ,words
accuse                        ,words
intention                     ,words
cause                         ,words
insurrection                  ,words
nancy                         ,words
pelosi                        ,words
speaker                       ,words
touch                         ,words
commander                     ,words
military                      ,words
strip                         ,words
nuclear                       ,words
code                          ,words
reliable                      ,words
far                           ,words
division                      ,words
ought                         ,words
auto                          ,words
cute                          ,words
rip                           ,words
uncertainty                   ,words
week                          ,words
turbulence                    ,words
history                       ,words
yesterday                     ,words
thousand                      ,words
covid                         ,words
single                        ,words
total                         ,words
jobless                       ,words
assault                       ,words
inheritance                   ,words
erect                         ,words
easily                        ,words
god                           ,words
rifle                         ,words
size                          ,words
intent                        ,words
possess                       ,words
fill                          ,words
survive                       ,words
infamous                      ,words
line                          ,words
sob                           ,words
cry                           ,words
care                          ,words
jr6                           ,words
completely                    ,words
complete                      ,words
lie                           ,words
racist                        ,words
situation                     ,words
quick                         ,words
absolutely                    ,words
irresponsible                 ,words
dangerous                     ,words
grow                          ,words
violent                       ,words
exist                         ,words
protect                       ,words
simple                        ,words
event                         ,words
tumultuous                    ,words
build                         ,words
vent                          ,words
anger                         ,words
victory                       ,words
evacuation                    ,words
lockdown                      ,words
lawmaker                      ,words
approve                       ,words
clash                         ,words
accept                        ,words
live                          ,words
sopa                          ,words
cornerstone                   ,words
highly                        ,words
abstract                      ,words
concept                       ,words
succeed                       ,words
certify                       ,words
early                         ,words
loyal                         ,words
bitterly                      ,words
contest                       ,words
cheer                         ,words
brave                         ,words
senator                       ,words
need                          ,words
encouragement                 ,words
defend                        ,words
yeah                          ,words
sorry                         ,words
mexican                       ,words
immigrant                     ,words
freedom                       ,words
pay                           ,words
masquerade                    ,words
safety                        ,words
outer                         ,words
ring                          ,words
tent                          ,words
deal                          ,words
picture                       ,words
appear                        ,words
protester                     ,words
stretcher                     ,words
send                          ,words
later                         ,words
cpr                           ,words
remove                        ,words
secret                        ,words
service                       ,words
detail                        ,words
joint                         ,words
adjourn                       ,words
wither                        ,words
assessment                    ,words
mirror                        ,words
allegation                    ,words
death                         ,words
spiral                        ,words
scramble                      ,words
cost                          ,words
officiate                     ,words
slavish                       ,words
verdict                       ,words
oath                          ,words
constrain                     ,words
claim                         ,words
unilateral                    ,words
authority                     ,words
belong                        ,words
television                    ,words
vision                        ,words
warn                          ,words
unprecedented                 ,words
appeal                        ,words
fulfill                       ,words
demand                        ,words
siege                         ,words
smash                         ,words
window                        ,words
occupy                        ,words
floor                         ,words
rummage                       ,words
desk                          ,words
threaten                      ,words
duly                          ,words
official                      ,words
protest                       ,words
condemnation                  ,words
scale                         ,words
rampart                       ,words
charge                        ,words
overthrow                     ,words
shine                         ,words
city                          ,words
johns                         ,words
talk                          ,words
image                         ,words
plenty                        ,words
urge                          ,words
ratify                        ,words
despite                       ,words
wrong                         ,words
colleague                     ,words
pilar                         ,words
real                          ,words
significance                  ,words
witness                       ,words
stun                          ,words
shock                         ,words
amazed                        ,words
question                      ,words
answer                        ,words
palpable                      ,words
sense                         ,words
disbelief                     ,words
lecture                       ,words
rest                          ,words
society                       ,words
beacon                        ,words
tattere                       ,words
politician                    ,words
contribute                    ,words
special                       ,words
lawandorder                   ,words
obey                          ,words
litigate                      ,words
court                         ,words
62                            ,words
find                          ,words
evidence                      ,words
point                         ,words
signal                        ,words
central                       ,words
contradiction                 ,words
stay                          ,words
totally                       ,words
chinese                       ,words
puppet                        ,words
communist                     ,words
massive                       ,words
feed                          ,words
diet                          ,words
maybe                         ,words
bit                           ,words
late                          ,words
trial                         ,words
combat                        ,words
land                          ,words
free                          ,words
confront                      ,words
egregious                     ,words
ill                           ,words
tulip                         ,words
poplar                        ,words
lordí                         ,words
ada                           ,words
lee                           ,words
harvey                        ,words
oswald                        ,words
liberal                       ,words
nurse                         ,words
romania                       ,words
launch                        ,words
career                        ,words
cruise                        ,words
aloha                         ,words
meet                          ,words
salah                         ,words
express                       ,words
friendship                    ,words
face                          ,words
definitely                    ,words
tumultuously                  ,words
twice                         ,words
formally                      ,words
incite                        ,words
deadly                        ,words
upper                         ,words
halfhour                      ,words
soap                          ,words
development                   ,words
sophie                        ,words
riot                          ,words
estate                        ,words
developer                     ,words
tall                          ,words
building                      ,words
tower                         ,words
fifth                         ,words
avenue                        ,words
hotel                         ,words
golf                          ,words
course                        ,words
scotland                      ,words
forever                       ,words
link                          ,words
eye                           ,words
carve                         ,words
unwelcome                     ,words
niche                         ,words
objection                     ,words
motion                        ,words
reconsider                    ,words
lay                           ,words
dawn                          ,words
unrecognizable                ,words
landscape                     ,words
frontline                     ,words
garrison                      ,words
town                          ,words
elegant                       ,words
marble                        ,words
corridor                      ,words
barrack                       ,words
civil                         ,words
war                           ,words
abraham                       ,words
lincoln                       ,words
serviceman                    ,words
crime                         ,words
descend                       ,words
almighty                      ,words
wield                         ,words
penetrate                     ,words
confusion                     ,words
discontent                    ,words
ukrainian                     ,words
sacred                        ,words
convict                       ,words
remedy                        ,words
republic                      ,words
safe                          ,words
resolutely                    ,words
organize                      ,words
block                         ,words
backing                       ,words
choose                        ,words
grandchild                    ,words
flaw                          ,words
differ                        ,words
tim                           ,words
annual                        ,words
actual                        ,words
madam                         ,words
unbridle                      ,words
foray                         ,words
somewhat                      ,words
ominously                     ,words
ahead                         ,words
issue                         ,words
light                         ,words
demonstration                 ,words
lawbreaking                   ,words
vandalism                     ,words
ease                          ,words
tension                       ,words
airbnb                        ,words
cancel                        ,words
booking                       ,words
mul                           ,words
troop                         ,words
iraq                          ,words
afghanistan                   ,words
combine                       ,words
delay                         ,words
raise                         ,words
debar                         ,words
staple                        ,words
officer                       ,words
hospital                      ,words
senseless                     ,words
spokesman                     ,words
attacker                      ,words
ram                           ,words
vehicle                       ,words
barricade                     ,words
emerge                        ,words
brandish                      ,words
knife                         ,words
dead                          ,words
senior                        ,words
terrorrelate                  ,words
investigation                 ,words
sokol                         ,words
rita                          ,words
kill                          ,words
billy                         ,words
evan                          ,words
serve                         ,words
18                            ,words
wife                          ,words
heartbroken                   ,words
news                          ,words
suspect                       ,words
drive                         ,words
car                           ,words
noah                          ,words
green                         ,words
25                            ,words
old                           ,words
africanamerican               ,words
motive                        ,words
